"id","phase","floor","production_starts","production_ends","shipping_depature","shipping_arrival","custom_clearing_starts","custom_clearing_ends","arrive_on_site","pre_work_starts","pre_work_ends","install_starts","install_ends","post_work_starts","post_work_ends","floor_completed","floor_closes","floor_opens"
43,1,34,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-07-31 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530
44,1,33,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-07-31 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530
45,1,32,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-08-15 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530
46,1,31,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-08-15 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530
47,1,30,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530
48,1,29,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530
49,1,28,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530
50,1,27,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530
51,1,26,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530
52,2,25,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530
53,2,24,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530
54,2,23,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530
55,2,22,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-24 05:30:00.000 +0530,2025-11-24 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530
56,2,21,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-10 05:30:00.000 +0530,2025-11-24 05:30:00.000 +0530,2025-11-24 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530
57,2,20,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530
58,2,19,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530,2025-11-17 05:30:00.000 +0530,2025-12-22 05:30:00.000 +0530
59,2,18,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-29 05:30:00.000 +0530,2025-12-29 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530
60,2,17,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-15 05:30:00.000 +0530,2025-12-29 05:30:00.000 +0530,2025-12-29 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530,2025-12-01 05:30:00.000 +0530,2026-01-05 05:30:00.000 +0530
61,2,16,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-06-01 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-29 05:30:00.000 +0530,2025-09-29 05:30:00.000 +0530,2025-06-01 05:30:00.000 +0530,2025-09-29 05:30:00.000 +0530
62,2,35,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-11-03 05:30:00.000 +0530,2025-11-03 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-11-03 05:30:00.000 +0530
